po4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0499,0.0526,0.0426,0.0529,0.0581,0.0528,0.0575,0.0572,0.0526,0.0521,0.0516,0.0512
B,0.0517,0.0534,0.0439,0.0575,0.0532,0.057,0.0533,0.0527,0.0533,0.0607,0.0644,0.0538
C,0.052,0.0538,0.0439,0.0536,0.0537,0.061,0.0539,0.0535,0.0624,0.0538,0.0538,0.0576
D,0.0608,0.0599,0.0436,0.0577,0.0535,0.0571,0.0609,0.0542,0.0535,0.0598,0.0533,0.0529
E,0.0655,0.0692,0.0437,0.0534,0.0564,0.0534,0.0534,0.0535,0.0532,0.0536,0.0529,0.065
F,0.0947,0.0949,0.0435,0.0668,0.0528,0.0538,0.0435,0.0438,0.0438,0.044,0.0432,0.0436
G,0.1363,0.1357,0.0434,0.059,0.0442,0.044,0.0434,0.0444,0.0436,0.0442,0.0432,0.0436
H,0.2314,0.2242,0.0433,0.0426,0.044,0.0438,0.0432,0.0424,0.0439,0.0438,0.0433,0.0543
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,36
E,,,,37,38,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.05,0.05,,,,,,,,,,
C,0.1,0.1,,,,,,,,,,
D,0.5,0.5,,,,,,,,,,
E,1,1,,,,,,,,,,
F,2.5,2.5,,,,,,,,,,
G,5,5,,,,,,,,,,
H,10,10,,,,,,,,,,
