po4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0501,0.0521,0.0437,0.0556,0.0577,0.0555,0.056,0.0552,0.0563,0.0444,0.0434,0.0437
B,0.05,0.0535,0.0435,0.0562,0.0576,0.0584,0.0574,0.057,0.0569,0.0437,0.0437,0.0438
C,0.0516,0.0533,0.0436,0.0553,0.0546,0.0562,0.057,0.0574,0.0542,0.0436,0.0435,0.0437
D,0.0599,0.0597,0.0437,0.0567,0.0568,0.0561,0.0556,0.0565,0.0557,0.0438,0.0435,0.0449
E,0.0644,0.0689,0.0438,0.0569,0.0551,0.0577,0.0552,0.0562,0.0563,0.0438,0.0437,0.0467
F,0.1181,0.1252,0.0434,0.0554,0.0559,0.0566,0.0566,0.0564,0.0565,0.0438,0.0435,0.0437
G,0.2121,0.199,0.0434,0.0561,0.0558,0.0556,0.0552,0.0557,0.0672,0.0451,0.0443,0.0447
H,0.3251,0.3456,0.0432,0.0555,0.0549,0.0572,0.073,0.0545,0.056,0.0436,0.0441,0.0425
,,,,,,,,,,,,
po4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,9,17,25,33,41,,,
B,,,,2,10,18,26,34,42,,,
C,,,,3,11,19,27,35,43,,,
D,,,,4,12,20,28,36,44,,,
E,,,,5,13,21,29,37,45,,,
F,,,,6,14,22,30,38,46,,,
G,,,,7,15,23,31,39,47,,,
H,,,,8,16,24,32,40,48,,,
,,,,,,,,,,,,
po4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.05,0.05,,,,,,,,,,
C,0.1,0.1,,,,,,,,,,
D,1,1,,,,,,,,,,
E,5,5,,,,,,,,,,
F,10,10,,,,,,,,,,
G,20,20,,,,,,,,,,
H,40,40,,,,,,,,,,
